Parameter,Outcome,mu,mu_star,mu_star_conf,sigma,mu_star_norm,sigma_norm,Method,ComputedAt,Methods
CO2 Cap,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Buildings demand,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Steel Production,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Chemical Production,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Passenger Cars,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Bunker aviation,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Bunker navigation,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Agriculture neGHG CH4,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Agriculture neGHG N2O,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Wind offshore Costs,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Wind offshore Potential,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Solar PV Costs,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Solar PV Potential,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Nuclear Costs,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Nuclear Potential,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Hydrogen Import Potential,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Hydrogen Import Price,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Biomass Import Potential,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Biomass Import Price,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Ammonia Import Potential,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Ammonia Import Price,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
CCS potential,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Flexibility Costs,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
LNG Price,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Electricity Trade Price,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Weather Conditions,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Electricity Trade Ratio,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Electricity Trade Volume,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
WACC,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
Bunker Emission Reduction,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
End-of-Life Emission Reduction,techUseNet 2050 TNB01_08,,,,,,,Delta_4000,20251109_120500,Delta_4000
